Country Name,Cheltuieli_Guvernamentale_Educatie_%_PIB,Inscrieri_Invatamant_Tertiar_%_Populatie,Inscrieri_Invatamant_Secundar_%_Populatie,Cheltuieli_Curente_Pentru_Sanatate_%_PIB,Rata_Mortalitatii_Infantile_/1000,Speranta_Viata_Ani
Philippines,2.83,35.87,82.01,3.9,22.2,69.45
Poland,4.79,69.37,109.41,6.4,4.2,77.45
Portugal,4.89,61.8,116.8,9.32,2.9,81.12
Romania,3.11,49.36,91.34,4.94,7.7,74.91
Russian Federation,3.83,84.24,96.33,5.3,6.6,71.18
Rwanda,3.65,7.53,39.41,6.65,33.7,65.42
Sao Tome and Principe,4.7,12.82,82.4,6.53,15.1,66.02
Senegal,5.46,10.84,50.54,4.38,37.3,66.45
Seychelles,4.91,16.5,92.09,4.31,13.2,74.3
Slovak Republic,4.56,52.72,91.9,6.76,5.1,76.56
Slovenia,4.96,82.2,109.66,8.5,2.1,80.78
South Africa,5.48,19.03,104.62,8.05,29.7,64.05
Spain,4.25,88.57,124.85,9.12,2.7,82.83
Sri Lanka,2.11,18.17,94.45,3.68,7.4,75.99
St. Kitts and Nevis,2.55,93.92,115.49,5.13,16.9,71.21
St. Lucia,3.88,17.03,90.95,4.51,15.6,72.93
St. Vincent and the Grenadines,4.96,23.62,114.02,4.11,15.4,70.46
Sweden,7.49,66.43,137.46,10.8,2.3,82.2
Switzerland,5.0,60.82,103.91,11.0,3.7,82.9
Tanzania,4.19,3.98,26.09,3.65,41.1,63.93
Thailand,3.86,45.71,124.33,3.85,10.3,76.56
Tunisia,6.22,33.37,85.78,6.21,16.0,74.88
Turkiye,4.31,95.56,107.24,4.12,11.0,76.54
Ukraine,5.34,76.86,90.5,7.78,9.2,72.69
United Kingdom,5.55,56.49,125.98,9.84,3.9,80.96
United States,4.93,88.89,97.65,16.48,5.8,78.69
Uruguay,4.21,57.79,108.04,8.26,7.5,77.28
Uzbekistan,5.49,8.05,92.24,4.74,18.6,71.33
Viet Nam,3.42,29.73,89.45,4.71,15.6,73.96
West Bank and Gaza,4.66,46.09,88.39,9.28,15.8,74.58
